year,month,electricity_consumption,total_rainfall(mm),Unemployment rate of the UK 1971-2022,Electricity Prices,average monthly daylight,Monthly GDP Index,
2015,January,29.87,239.78,5.7,39.86,37.3,91.3,
2015,February,27.37,114.98,5.6,42.86,84.4,91.6,
2015,March,28.35,168.03,5.5,40.91,116.6,91.8,
2015,April,25.18,75.43,5.5,43.97,211.8,92.3,
2015,May,24.75,153.51,5.6,41.21,173.8,92.1,
2015,June,23.44,85.91,5.6,41.66,188.5,92,
2015,July,24.48,124.77,5.5,42.2,160.7,92.3,
2015,August,23.55,99.54,5.4,40.86,148.2,92.3,
2015,September,24.23,35.15,5.3,42.04,151.8,92.6,
2015,October,25.58,74.39,5.2,40.29,90.4,93,
2015,November,26.82,251.37,5.1,38.01,35.5,93,
2015,December,27.4,300.39,5.1,35.07,29.1,93.1,
2016,January,28.98,215.61,5.1,36.95,37.3,93.1,
2016,February,27.28,167.81,5.1,33.85,84.4,93.4,
2016,March,27.89,86.25,5.1,34.76,116.6,93.7,
2016,April,25.19,85.51,5,34.37,160.5,94.2,
2016,May,23.87,80.51,4.9,34.61,208.3,94,
2016,June,23.05,62.43,4.9,37.51,134.9,94.2,
2016,July,23.54,118.5,4.9,38.4,156.4,94.6,
2016,August,23.39,112.52,5,36.51,180.6,94.6,
2016,September,23.76,171.76,4.8,51.13,119.3,94.9,
2016,October,25.9,48.67,4.8,56.03,104.6,95.1,
2016,November,28.16,101.39,4.8,67.54,74.2,95.3,
2016,December,28.47,129.56,4.7,49.87,40.3,95.4,
2017,January,29.78,84.85,4.7,53.37,54.7,95.8,
2017,February,26.18,142.47,4.6,49.49,54.8,95.9,
2017,March,26.34,118.45,4.6,41.99,119.1,96,
2017,April,24.02,42.13,4.5,42.1,158.1,96.2,
2017,May,24.34,46.5,4.4,41.24,207.8,96.5,
2017,June,22.76,128.26,4.4,39.68,155.3,96.6,
2017,July,23.34,97.11,4.3,43.05,168.3,96.7,
2017,August,23.63,119.75,4.3,43.34,155.1,97,
2017,September,23.76,126.57,4.3,47.17,108.5,97.5,
2017,October,25.39,176.78,4.2,46.68,72.3,97.5,
2017,November,27.87,116,4.3,51.45,70.7,97.8,
2017,December,29.4,132.08,4.4,56.18,44.5,97.4,
2018,January,28.63,182.49,4.3,50.84,49.1,97.4,
2018,February,27.11,100.49,4.2,53.68,98.1,97.4,
2018,March,29.28,83.21,4.2,56.79,83.7,97.9,
2018,April,25.69,79.82,4.2,50.74,131.6,97.7,
2018,May,23.75,48.06,4.2,54.25,240.5,98.1,
2018,June,22.47,59.62,4,54,234.4,98.3,
2018,July,23.62,70.87,4,57.61,233.8,98.5,
2018,August,23.76,102.32,4,61.94,147,98.7,
2018,September,23.29,154.03,4.1,67.69,132.4,98.8,
2018,October,25.09,167.02,4.1,64.76,111.4,98.7,
2018,November,26.95,148.82,4,62.19,61.8,99.1,
2018,December,27.75,124,4,64.32,36.2,99,
2019,January,29.4,77.81,3.9,62.55,50.8,99.3,
2019,February,25.19,96.94,3.9,50.27,98.9,99.7,
2019,March,26.85,158.4,3.8,44.96,115.2,99.7,
2019,April,24.53,31.26,3.8,43.87,168.7,99.3,
2019,May,23.8,74.37,3.8,41.35,186.9,99.6,
2019,June,22.32,75.51,3.9,39.4,159.9,99.9,
2019,July,23.18,122.05,3.8,41.86,166.3,100.3,
2019,August,22.8,207.22,3.9,39.62,174.9,100.3,
2019,September,22.93,128.56,3.8,37.32,142.7,100.7,
2019,October,25.87,154.4,3.8,37.74,88.5,100.5,
2019,November,27.69,58.82,3.8,46.04,48.1,100.3,
2019,December,27.94,207.6,3.8,39.94,45.9,100.4,
2020,January,28.19,216.96,3.9,35.93,44.5,100.7,
2020,February,26.08,259.83,4,32.04,72.9,100.2,
2020,March,26.82,138.3,4,33.22,136.3,93.1,
2020,April,20.73,24.14,4,24.01,224.5,73.7,
2020,May,20.48,60.84,4.1,24.13,265.5,76,
2020,June,20.36,98.87,4.1,28.42,164.2,82.8,
2020,July,21.38,144.73,4.3,31.28,142.4,88.9,
2020,August,21.95,116.54,4.5,37.88,142.6,90.8,
2020,September,22.39,129.67,4.8,45.3,145.3,91.8,
2020,October,25.14,203.16,5,44.65,66,92.3,
2020,November,25.91,185.47,5.1,46.83,53.1,90.7,
2020,December,27.89,156.68,5.1,59.57,37.8,92.3,
2021,January,28.74,124.37,5.1,90.94,44.7,89.5,
2021,February,24.97,114.96,5,56.46,72.1,90.1,
2021,March,26.72,153.62,4.9,57.18,101.9,92.3,
2021,April,24.2,18.43,4.8,69.38,225.1,95.2,
2021,May,23.8,61.57,4.8,78.04,160.4,96.6,
2021,June,21.44,57.19,4.7,79.31,181.9,97.6,
2021,July,22.35,37.71,4.6,94.51,191.6,97.4,
2021,August,22.01,72.49,4.5,108.58,128.1,98.2,
2021,September,22.44,118.88,4.3,230.66,119.5,98.8,
2021,October,23.97,241.66,4.2,192.47,80.2,99,
2021,November,26.4,102.52,4.1,209.55,58.2,100,
2021,December,27.35,115.44,4.1,262.52,27.6,100.1,
2022,January,27.52,104.08,3.9,206.88,62.7,100.3,
2022,February,24.36,202.99,3.8,166.93,73.6,100.4,
